"","ACLA","ARGI","BAEL","CALO","CAPN","CERL","CHIL","CHIM","CHLR","EMPL","HELI","HETA","HYDE","LEPT","LETR","MARU","MCYL","MEGL","MITE","OCHR","OLIG","PETL","PLAN","POLL","RHYL","SIML","TABL","TIPL"
"2011-01-21 Hess 5",0.253813782219884,0.395348837209302,0.105420560747664,0,0,0,0.119099613640181,0.123595505617978,0.260869565217391,0.209876543209877,0.0191625266146203,0,0.177065767284992,0.0210526315789474,0.0409356725146199,0.0306661966866408,0.16496062992126,0.395348837209302,0.112582781456954,0,0.0318057455540356,0.158906882591093,0.0752688172043011,0,0.230769230769231,0.124062319676861,0.0769230769230769,0
"2011-01-21 Hess 6",0.668332456601789,0.27906976744186,0.227102803738318,1,1,0,0.155215857550815,1,1,0.641975308641975,0.255736929264254,0.09375,1,0.12280701754386,0.0549707602339181,0.0655622136059218,0.615748031496063,0.13953488372093,0.0397350993377483,0.557692307692308,0.14500683994528,0.188259109311741,1,0,0.557692307692308,0.580496249278707,0.656108597285068,0
"2011-06-09 Hess 1",0.00920568122041031,0.27906976744186,0.488971962616822,0.5,0,0,0.0703846799932807,0.0584269662921348,0,0.0740740740740741,0.0977052282942986,0,0.244519392917369,0,0,0.0102220655622136,0.112204724409449,0,0.536423841059603,0,0.0776333789329685,0,0.0365591397849462,0,0,0.033467974610502,0.18552036199095,0
"2011-06-09 Hess 2",0.00315623356128353,0,0.148971962616822,0,0,0,0.0693767848143793,0.0191011235955056,0,0,0.0179796546013721,0,0.0691399662731872,0,0,0.00211491011632006,0.0413385826771654,0.395348837209302,0.576158940397351,0.115384615384615,0.0177838577291382,0,0.0365591397849462,0.260869565217391,0,0.00346220427005193,0.0542986425339367,0.5
"2011-06-09 Hess 3",0.0168332456601789,0,0.466168224299065,0,0,0,0.073240383000168,0.0528089887640449,0,0.0740740740740741,0.0343032883841968,0,0.342327150084317,0,0,0.00599224532957349,0.210629921259843,0.813953488372093,0.344370860927152,0.115384615384615,0.0239398084815321,0,0.0129032258064516,0,0.557692307692308,0.21465666474322,0.420814479638009,1
"2011-06-09 Hess 4",0,0,0.206542056074766,0,0,0,0.0673609944565765,0.0325842696629213,0,0.148148148148148,0.0357227348000946,0,0.0691399662731872,0,0,0.00211491011632006,0.068503937007874,0,0.576158940397351,0.230769230769231,0.0177838577291382,0.00607287449392713,0,0,0,0.0300057703404501,0.0769230769230769,0
"2011-06-09 Hess 5",0.00447133087848501,0,0.18803738317757,0,0,0,0.0273811523601545,0.0258426966292135,0,0,0.0123018689377809,0,0.0387858347386172,0,0,0.00810715544589355,0.0570866141732283,0.13953488372093,0.19205298013245,0.115384615384615,0.00991792065663475,0,0,0,0.115384615384615,0.466243508366994,0.0271493212669683,0.5
"2011-06-09 Hess 6",0.0123619147816938,0.27906976744186,0.542242990654206,0,0,0,0.0604737107340837,0.0325842696629213,0,0.148148148148148,0.0454222853087296,0,0.177065767284992,0,0,0.00599224532957349,0.0893700787401575,0.534883720930233,0.615894039735099,0,0.0417236662106703,0,0.0494623655913978,0,0.230769230769231,0.194460473167917,0.0271493212669683,0
"2011-09-04 Hess 1",0.0444502893214098,0.13953488372093,0.177196261682243,0,0,0,0.130858390727364,0.0325842696629213,0,0.209876543209877,0.0771232552637805,0.09375,0.0286677908937605,0.0421052631578947,0.231578947368421,0.0348960169192809,0.427952755905512,0.27906976744186,0.0794701986754967,0.442307692307692,0.0478796169630643,1,0.0365591397849462,0,0,0.00980957876514714,0.212669683257919,0
"2011-09-04 Hess 2",0.145186743819043,0.953488372093023,0.233644859813084,0,0,0,0.187468503275659,0.195505617977528,0,0.580246913580247,0.114265436479773,0.1875,0.136593591905565,0.631578947368421,0.19766081871345,0.104688050757843,0.613385826771654,0.395348837209302,0.344370860927152,0.788461538461538,0.0595075239398085,0.782388663967611,0.262365591397849,0,0,0.0571263704558569,0.158371040723982,0
